scenario,comm_util,active_mfu,availability,billing_eff,pue,GPU depreciation,System depreciation,Facility (Tier-III DC),Network (PLDT backbone),Ops/SRE,Software/License/Insurance,Power (with PUE),Annual TCO,Billable hrs/yr,Break-even $/GPU/hr
Demand Down,0.35,0.45,0.99,0.95,1.4,6000.0,1593.75,1500,400,600,500,539.16,11132.91,2884,3.86
Baseline,0.6,0.5,0.99,0.95,1.4,6000.0,1593.75,1500,400,600,500,689.94,11283.69,4943,2.28
Demand Up,0.8,0.55,0.99,0.95,1.4,6000.0,1593.75,1500,400,600,500,832.64,11426.39,6591,1.73
Energy Stress,0.6,0.5,0.99,0.95,1.6,6000.0,1593.75,1500,400,600,500,1493.51,12087.26,4943,2.45
Reliability Stress,0.6,0.5,0.95,0.9,1.4,6000.0,1593.75,1500,400,600,500,676.8,11270.55,4494,2.51
